1 , 45 , [-0.5, -1.0199999999999996, -1.2100000000000002, 1.630000000000001, 1.07] 

2 , 38 , [-0.7, -1.0499999999999987, -1.38, 2.7700000000000014, 1.7899999999999994] 

3 , 26 , [-0.8999999999999999, -1.499999999999999, -1.67, 3.1900000000000004, 2.2199999999999993] 

4 , 35 , [-1.2, -2.1899999999999986, -1.9199999999999988, 3.8600000000000003, 2.830000000000001] 

5 , 30 , [-1.4000000000000001, -2.5299999999999976, -2.0699999999999976, 4.369999999999999, 3.2700000000000022] 

6 , 22 , [-1.6000000000000003, -3.3599999999999968, -2.269999999999997, 4.3599999999999985, 3.5500000000000034] 

7 , 26 , [-1.8000000000000005, -3.799999999999996, -2.4799999999999955, 4.649999999999998, 3.890000000000004] 

8 , 24 , [-2.0000000000000004, -4.069999999999997, -2.789999999999996, 5.019999999999995, 4.070000000000004] 

9 , 26 , [-2.2000000000000006, -4.329999999999998, -2.9699999999999958, 5.379999999999993, 4.400000000000003] 

10 , 17 , [-2.3000000000000007, -4.399999999999998, -2.9899999999999967, 5.639999999999993, 4.690000000000002] 

